ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-25-016440	2833816	No securities are beneficially owned.				0.0	F1			D			
0001493152-25-016439	2833726	No securities are beneficially owned.				0.0	F1			D			
0001493152-25-016438	2833662	No securities are beneficially owned.				0.0				D			
0001493152-25-016437	2833891	No securities are beneficially owned.				0.0	F1			D			
0001493152-25-016436	2833885	No securities are beneficially owned.				0.0				D			
0001729638-25-000008	2833795	Registered Shares				22148.0				D			
0001140361-25-036835	2833774	Class A Common Stock				100002.0				I		By Jing Chen, wife of David H. Wang	
0001140361-25-036835	2833776	Class A Common Stock				180000.0				I		By David Hui Wang and Jing Chen Family Irrevocable Trust for Wang Children	
0001140361-25-036835	2833777	Class A Common Stock				620001.0				I		By Wang-Chen Family Living Trust	
0001140361-25-036835	2833775	Class A Common Stock				45837.0				I		By Sophia Wang, daughter of David H. Wang	
0001193125-25-225622	2833721	Common Stock				152932.0				D			
0001193125-25-225621	2833660	Common Stock				120337.0				D			
0001193125-25-225611	2833725	Class A Common Stock				23028650.0				I		See footnotes	F2, F3, F1
0001193125-25-225608	2833827	Common Stock	F1			511000.0				I		Held by the Trevor R. Burgess Revocable Trust, u/a/d September 30, 2024	F2
0001193125-25-225608	2833826	Common Stock	F1			17885000.0				I		Held by the Trevor R. Burgess Irrevocable Trust of 2020, u/a/d March 24, 2025	F3
0001193125-25-225608	2833825	Common Stock	F1			25039000.0				I		Held by Burgess Family SLAT, u/a/d March 26, 2025	F2
0001193125-25-225602	2833842	Class A Common Stock				20350595.0				D	F2, F1		
0001193125-25-225600	2833656	Common Stock	F1			511000.0				I		Held by the Carlon Family Trust, dated May 7, 2024	F3
0001193125-25-225600	2833655	Common Stock	F1			4599000.0				I		Held by the JWC Irrevocable Trust	F2
0001193125-25-225600	2833657	Common Stock	F1			575000.0				D			
0001341439-25-000040	2833748	Common Stock				6000.0	F1			I		By Spouse	
0001341439-25-000040	2833749	Common Stock				14414.0				I		By Trust	
0001193125-25-225592	2833890	Common Stock	F1			3730000.0				D			
0001268406-25-000017	2833884	Common Stock				259.0				I		By the Marti E. Burke 2012 Irrevocable Trust, dated 10/16/2012	
0001268406-25-000017	2833882	Common Stock				701514.0				I		By JAMEB, LP, a limited partnership jointly owned by Reporting Person and his spouse	
0001268406-25-000017	2833883	Common Stock				34000.0				I		By the James A. Burke 2012 Irrevocable Trust, dated 12/03/2012	
0000929638-25-003697	2833794	Class A Ordinary Shares				512500.0	F2, F1			D			
0001193125-25-225580	2833763	Common Stock	F1			1160000.0				D			
0000929638-25-003693	2833658	Class A Ordinary Shares				512500.0	F2, F1			I		By BTC Development Sponsor LLC	F3
0000929638-25-003692	2833770	Class A Ordinary Shares				512500.0	F2, F1			I		By BTC Development Sponsor LLC	F3
0001213900-25-094217	2833652	Class A ordinary shares				2500.0				I		See footnote	F1
0001213900-25-094216	2833855	Class A ordinary shares				2500.0				D			
0000929638-25-003690	2833659	Class A Ordinary Shares				512500.0	F2, F1			I		By BTC Development Sponsor LLC	F3
