ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001140361-25-047122	3337873	Stock Option (Right to Buy)		12.68		31-DEC-2025				4	M	0				2449877.0				0.0		D			F5	31-MAR-2026		Common Shares		2449877.0				95718.0				D			
0001140361-25-047122	3337872	Stock Option (Right to Buy)		12.68		29-DEC-2025				4	M	0				748358.0				0.0		D			F5	31-MAR-2026		Common Shares		748358.0				555840.0				D			
0001193125-25-338500	3337742	Restricted Stock Units		0.0		31-DEC-2025				4	M	false				7353.0				0.0		D		31-DEC-2025			F1	Common Stock		7353.0				7353.0				D			
0001193125-25-338499	3337754	Restricted Stock Units		0.0		31-DEC-2025				4	M	false				7353.0				0.0		D		31-DEC-2025			F1	Common Stock		7353.0				7353.0				D			
0001193125-25-338498	3337869	Restricted Stock Units		0.0		31-DEC-2025				4	M	false				7353.0				0.0		D		31-DEC-2025			F1	Common Stock		7353.0				7353.0				D			
0001193125-25-338497	3337927	Restricted Stock Units		0.0		31-DEC-2025				4	M	false				7353.0				0.0		D		31-DEC-2025			F1	Common Stock		7353.0				7353.0				D			
0001561550-25-000368	3337809	Class B Common Stock			F1	29-DEC-2025				4	C	0	F1			32418.0				0.0		D			F1		F1	Class A Common Stock		32418.0				2666556.0				D			
0001561550-25-000366	3337845	Class B Common Stock			F1	08-DEC-2025				4	C	0	F1			16698.0				0.0		D			F1		F1	Class A Common Stock		16698.0				2698974.0				D			
0001493152-25-029883	3337911	Restricted Stock Unit			F1	29-DEC-2025				4	A	0				60000.0				0.0		A		29-DEC-2025			F2	Common Stock		60000.0				60000.0				D			
0001493152-25-029881	3337731	Restricted Stock Unit			F1	29-DEC-2025				4	A	0				475000.0				0.0		A		29-DEC-2025			F2	Common Stock		475000.0				875000.0				D			
0001493152-25-029880	3337910	Restricted Stock Unit			F1	29-DEC-2025				4	A	0				50000.0				0.0		A		29-DEC-2025			F2	Common Stock		50000.0				50000.0				D			
0001892579-25-000004	3337898	Deferred Stock Unit			F1	29-DEC-2025				4	A	0				670.0				0.0		A			F1		F2	Common Stock		670.0				670.0				D			
0001661859-25-000006	3337722	Restricted Stock Units		0.0	F2	31-DEC-2025				4	M	0	F1			649.0				0.0		D			F3		F4	Common Stock		649.0				1299.0				D			
0001302110-25-000010	3337761	Restricted Stock Units		0.0	F2	31-DEC-2025				4	M	0	F1			649.0				0.0		D			F3		F4	Common Stock		649.0				1299.0				D			
0001821008-25-000006	3337894	Restricted Stock Units		0.0	F2	31-DEC-2025				4	M	0	F1			649.0				0.0		D			F3		F4	Common Stock		649.0				1299.0				D			
0001646293-25-000006	3337928	Restricted Stock Units		0.0	F2	31-DEC-2025				4	M	0	F1			649.0				0.0		D			F3		F4	Common Stock		649.0				1299.0				D			
0001452385-25-000006	3337861	Restricted Stock Units		0.0	F2	31-DEC-2025				4	M	0	F1			649.0				0.0		D			F3		F4	Common Stock		649.0				1299.0				D			
0001218470-25-000014	3337895	Restricted Stock Units		0.0	F4	31-DEC-2025				4	M	0	F1			649.0				0.0		D			F5		F6	Common Stock		649.0				1299.0				D			
0000887343-25-000284	3337853	Restricted Stock Unit			F1	31-DEC-2025				4	A	0				21467.0				27.95		A			F1		F1	Common Stock		21467.0				47405.0				D			
0001096906-25-002191	3337749	Employee Stock Option (right to buy)		12.43	F10	06-DEC-2024				4	A	0				34703.0				12.43		A		06-MAR-2025		06-DEC-2034		Class C Common Stock		34703.0				243537.0				D			
0001096906-25-002191	3337750	Employee Stock Option (right to buy)		9.38	F11	05-DEC-2025				4	A	0				10657.0				9.38		A		05-MAR-2026		05-DEC-2030		Class C Common Stock		10657.0				254194.0				D			
