ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001104659-25-125707	/s/ Don Schena	31-DEC-2025
0001104659-25-125706	/s/ Jeffrey H. Kuras, by Power of Attorney	31-DEC-2025
0001104659-25-125705	/s/ Teresa L. Elder	31-DEC-2025
0001104659-25-125704	/s/ Jeffrey H. Kuras, by Power of Attorney	31-DEC-2025
0001104659-25-125703	By: Aaron Beckman by Power of Attorney For: Elon Musk	31-DEC-2025
0001140361-25-047122	By: /s/ Jo Chen, as Attorney-in-Fact for Mayukh Sukhatme	31-DEC-2025
0001193125-25-338500	/s/ Larry McNeill	31-DEC-2025
0001193125-25-338499	/s/ Thomas L. Wood	31-DEC-2025
0001193125-25-338498	/s/ Roger P. Beynon	31-DEC-2025
0001193125-25-338497	/s/ Amanda Cavaleri	31-DEC-2025
0001561550-25-000368	/s/ Kerry Acocella, Attorney-in-Fact	31-DEC-2025
0001561550-25-000366	/s/ Kerry Acocella, Attorney-in-Fact	31-DEC-2025
0001493152-25-029883	/s/ Brett Earl James Vroman	31-DEC-2025
0001493152-25-029881	/s/ Kevin J. O'Donnell	31-DEC-2025
0001493152-25-029880	/s/ Nicola Paul Caiano	31-DEC-2025
0001217160-25-000053	Erica D. Daley, Chief Financial and Operations Officer	31-DEC-2025
0001892579-25-000004	/s/ Deanna M. Smith, Attorney-in-Fact	31-DEC-2025
0001661859-25-000006	/s/ Robert Turner, by power of attorney	31-DEC-2025
0001302110-25-000010	/s/ Robert Turner, by power of attorney	31-DEC-2025
0001821008-25-000006	/s/ Robert Turner, by power of attorney	31-DEC-2025
0001646293-25-000006	/s/ Robert Turner, by power of attorney	31-DEC-2025
0001452385-25-000006	/s/ Robert Turner, by power of attorney	31-DEC-2025
0001218470-25-000014	/s/ Robert Turner, by power of attorney	31-DEC-2025
0001695434-25-000019	Steven S. Fendley, by Eva Yee, Attorney-In-Fact	31-DEC-2025
0001707657-25-000004	/s/ Alex Nemiroff, as Attorney-in-Fact	31-DEC-2025
0001213900-25-127189	/s/ Eric A. Brock	31-DEC-2025
0001628280-25-059252	/s/ Erick Rivero, by power-of-attorney	31-DEC-2025
0001954402-25-000009	/s/ Paul Maple, Attorney-in-Fact for Paul Christians	31-DEC-2025
0001868020-25-000006	/s/ Paul Maple, Attorney-in-Fact for Geoffrey C. Smith	31-DEC-2025
