ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001104659-25-030101,2598198,"Ordinary Shares, No Par Value",,,,39525691.0,,,,I,,See Footnote,F2
0001104659-25-030099,2320130,"Ordinary Shares, No Par Value",,,,39525691.0,,,,I,,See Footnote,F2
0000950170-25-048019,2727328,Common Stock,,,,1638.0,,,,I,,,
0000950170-25-048019,2727327,Common Stock,,,,33156.0,F1,,,D,,Held in Methode 401(k) Plan,
0001104659-25-030070,2371248,Class A Common Stock,,,,2000000.0,,,,I,,By Caroline Cochran GRAT,
0001104659-25-030070,2371247,Class A Common Stock,,,,2000000.0,,,,I,,By Jacob DeWitte GRAT,
0001104659-25-030066,2556900,Class A Common Stock,,,,2000000.0,,,,I,,By Caroline Cochran GRAT,
0001104659-25-030066,2556901,Class A Common Stock,,,,2000000.0,,,,I,,By Jacob DeWitte GRAT,
0001393311-25-000054,2383218,Common Shares,,,,154685.0,F2,,,I,,By Trust,F4
0000891166-25-000042,2545171,Common Stock,,,,18000.0,,,,I,,By Children,
0000891166-25-000042,2545172,Common Stock,,,,2000.0,,,,I,,By Spouse,
0000939767-25-000054,2458588,Common Stock,,,,17728.0,F4,,,I,,By 401(k),
0000939767-25-000054,2458587,Common Stock,,,,1764985.0,F3,,,I,,By Trust,
0000939767-25-000053,2805388,Common Stock,,,,5835.0,F3,,,I,,By 401(k),
0000939767-25-000052,2767681,Common Stock,,,,999.0,F3,,,I,,By 401(k),
0000939767-25-000051,2741471,Common Stock,,,,23539.0,,,,I,,By spouse,
0000939767-25-000051,2741472,Common Stock,,,,10648.0,F3,,,I,,By 401(k),
0000939767-25-000050,2558336,Common Stock,,,,2723.0,F3,,,I,,By 401(k),
0001393311-25-000052,2549296,Common Shares,,,,2000.0,,,,I,,By Trust,F3
0001393311-25-000050,2333829,Common Shares,,,,1900.0,,,,I,,By Spouse IRA,
0001393311-25-000050,2333828,Common Shares,,,,316319.0,,,,I,,By Trust,F3
0001434728-25-000102,2782666,Common Stock,,,,42150.0,,,,I,,By family relationship,F2
0001434728-25-000101,2496457,Common Stock,,,,50000.0,,,,I,,"By Levine Family Trust ""A""",F3
0001568100-25-000029,2564103,Common Stock,,,,50.0,,,,I,,By spouse,
0001568100-25-000027,2667200,Common Stock,,,,13426.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - II",
0001568100-25-000027,2667198,Common Stock,,,,22610.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2023 Grantor Retained Annuity Trust - II",
0001568100-25-000027,2667197,Common Stock,,,,22610.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2023 Grantor Retained Annuity Trust - I",
0001568100-25-000027,2667196,Common Stock,,,,144500.0,,,,I,,"By Jennifer Tejada, as Trustee of the Langford Island Trust",
0001568100-25-000027,2667202,Common Stock,,,,25000.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - IV",
0001568100-25-000027,2667201,Common Stock,,,,25000.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - III",
0001568100-25-000027,2667199,Common Stock,,,,13426.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - I",
0001829126-25-002246,2702624,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0001437749-25-010319,2752914,Common Stock,,,,60218.0,,,,I,,By The Holdsworth Family Living,
0001437749-25-010319,2752915,Common Stock,,,,710088.0,,,,I,,"By THG Securities Fund, L.P.",
0001213900-25-026504,2767025,"Common Stock, $0.00001 par value",,,,5200.0,,,,I,,See footnote,F2
0001213900-25-026504,2767026,"Common Stock, $0.00001 par value",,,,216452.0,,,,D,,,
0001641172-25-001916,2607041,Common Stock,,,,10589030.0,,,,D,F1,,
0000929638-25-001412,2658931,Common Stock,,,,1109850.0,,,,I,,See Footnotes,F1
0000915779-25-000082,2441472,Common Stock,,,,163345.0,,,,I,,"By Prairieland Holdco, LLC",
0001829126-25-002243,2670521,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0001829126-25-002242,2593032,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0001829126-25-002241,2670606,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0000091419-25-000022,2814259,Common Shares,,,,2597.0,,,,I,,401(k),F1
0001415889-25-009285,2468405,Class A Common Stock,,,,101727.0,,,,I,,By Spouse,
0001437749-25-010307,2508133,Common Stock,,,,1518.0,,,,I,,,
0001437749-25-010307,2508132,Common Stock,,,,140123.0,,,,D,,By Spouse's IRA,
0001127602-25-010679,2537345,"Class A Common Stock, Par Value $1",,,,201262.0,,,,D,,,
0000929638-25-001411,2589327,Common Stock,,,,1002207.0,,,,I,,See Footnotes,"F3, F1"
0001406587-25-000046,2607270,Common Stock,,,,4300.0,,,,I,,Held by The Anthony and Mary Oxley Revocable Trust.,
0001415889-25-009277,2507286,Common Stok,,,,86775.0,,,,I,,By Trust,F1
0001415889-25-009277,2507287,Common Stock,,,,10725.0,,,,I,,By Trust,F2
0001415889-25-009277,2507288,Common Stock,,,,8532.0,,,,I,,By Trust,F3
0001415889-25-009277,2507290,Common Stock,,,,121301.0,,,,I,,By Trust,F5
0001415889-25-009277,2507289,Common Stock,,,,16328.0,,,,I,,By Trust,F4
0001415889-25-009275,2766277,Common Stock,,,,76750.0,,,,I,,By Trust,F2
0001415889-25-009275,2766278,Common Stock,,,,10417.0,,,,I,,By Spouse IRA,
0001415889-25-009275,2766276,Common Stok,,,,59250.0,,,,I,,By Trust,F1
0001415889-25-009273,2440154,Common Stock,,,,15607.0,,,,I,,By Trust,F1
0000950142-25-000925,2760234,Common Stock,,,,74999994.0,,,,I,,See footnotes,"F3, F4"
0001127602-25-010677,2799448,Common,,,,395970.0,,,,I,,By Wife's Trust for Children and Reporting Person,
0001127602-25-010677,2799447,Common,,,,6774.0,,,,I,,By Son,
0001127602-25-010677,2799446,Common,,,,178689.0,,,,I,,By Trust for Wife,
0001127602-25-010677,2799444,Common,,,,415203.0,,,,I,,By Trust for Children,
0001127602-25-010677,2799443,Common Stock,,,,5717.21,,,,I,,By 401(k),
0001127602-25-010677,2799445,Common,,,,57270.0,,,,I,,By Wife's Trust for Children,
0001581760-25-000057,2682389,Common Stock,,,,195312.0,F4,,,I,,Held by the Mckenzie Hulls 2023 Irrevocable Trust,
0001581760-25-000057,2682388,Common Stock,,,,195312.0,F4,,,I,,Held by the Rose Hulls 2023 Irrevocable Trust,
0001581760-25-000057,2682387,Common Stock,,,,195312.0,F4,,,I,,Held by the Robin Hulls 2023 Irrevocable Trust,
0001581760-25-000057,2682390,Common Stock,,,,1846.0,,,,I,,"Held by ICCA Labs, LLC",F5
0000950170-25-047899,2747283,Restricted Stock,,,,53595.0,,,,D,,,
0000950170-25-047884,2804808,Class C Google Stock Units,F2,,,66455.0,,,,D,,,
0000950170-25-047884,2804809,Class C Google Stock Units,F3,,,104444.0,,,,D,,,
0000950170-25-047884,2804807,Class C Google Stock Units,F1,,,42508.0,,,,D,,,
0001403694-25-000007,2760505,Common Stock,,,,11136.0,,,,I,,By spousal trust,F3
0001127602-25-010676,2418624,Common Stock,,,,112000.0,,,,I,,Held In Family Trust,
0000897069-25-000707,2347040,Common Stock,,,,85100.0,,,,I,,Shares held in trust for benefit of Reporting Person,
0000950170-25-047856,2764265,Class A Common Stock,,,,0.0,,,,D,,,
0000950170-25-047807,2482910,Class C Google Stock Units,F1,,,181.0,,,,D,,,
0000950170-25-047807,2482912,Class C Google Stock Units,F3,,,1606.0,,,,D,,,
0000950170-25-047807,2482913,Class C Google Stock Units,F4,,,1593.0,,,,D,,,
0000950170-25-047807,2482911,Class C Google Stock Units,F2,,,984.0,,,,D,,,
0001225208-25-003746,2333610,Common Stock,,,,172831.0,,,,I,,Spouse Irrevocable Trust,
0001225208-25-003746,2333609,Common Stock,,,,1153938.0,,,,I,,Spousal GRAT,
0001225208-25-003746,2333608,Common Stock,,,,702903.0,,,,I,,Sole general partner of limited partnership B,
0001225208-25-003746,2333606,Common Stock,,,,396100.0,,,,I,,Family Foundation,
0001225208-25-003746,2333605,Common Stock,,,,69386.03,F1,,,I,,401(k),
0001225208-25-003746,2333607,Common Stock,,,,2061.0,,,,I,,IRA,
0001415889-25-009246,2799488,Class A Common Stock,,,,3333.0,,,,D,,,
0001104659-25-029914,2461470,Common Stock,,,,1200.0,,,,I,F2,By Daughter,
0001104659-25-029914,2461471,Common Stock,,,,600.0,,,,I,F2,By Son,
0001127602-25-010672,2377108,Common Stock,,,,2083.0,,,,I,,by Trust 2,F2
0001127602-25-010672,2377107,Common Stock,,,,2083.0,,,,I,,by Trust 1,F1
0001062993-25-006588,2524178,Common Stock,,,,8136.0,F2,,,I,,Held by Mr. Buchanan's wife.,
0000905148-25-001026,2324769,Common Stock,,,,12298.0,,,,I,,Spouse,F2
0000905148-25-001026,2324770,Common Stock,,,,2134148.0,,,,I,,CFW Partners,
0000905148-25-001026,2324771,Common Stock,,,,584.0,,,,I,,Granddaughter,F3
0001104659-25-029899,2617539,Class B Common Stock,,,,279308.0,,,,I,,By Grantor Retained Annuity Trusts,
0001104659-25-029899,2617540,Class B Common Stock,,,,32635.0,,,,I,,By 401(K) Plan,
0001571123-25-000046,2334168,Common Stock,,,,334.0,,,,I,,By Wife's second trust,
0001571123-25-000046,2334167,Common Stock,,,,1000.0,,,,I,,By Wife's Trust,
0001104659-25-029886,2775468,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0001104659-25-029884,2777142,Class B Common Stock,,,,100000.0,,,,I,,By spouse,
0001104659-25-029884,2777143,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0001104659-25-029884,2777141,Class B Common Stock,,,,12696921.0,,,,I,,By Grantor Retained Annuity Trust,
0001104659-25-029880,2554578,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0001104659-25-029880,2554577,Class B Common Stock,,,,137512.0,,,,I,,By spouse,
0001062993-25-006581,2420350,Common Stock,,,,115221.0,F1,,,D,,,
0001062993-25-006579,2799460,Common Stock,,,,56756.0,F1,,,D,,,
0001415889-25-009243,2644361,Class A Common Stock,,,,499503.0,,,,D,,,
0001104659-25-029876,2581169,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0000950170-25-047747,2338164,Common Stock,,,,29252.0,F1,,,D,,,
0001062993-25-006577,2581784,Common Stock,,,,43464.0,F1,,,D,,,
0001641172-25-001733,2740084,Common Stock,,,,19115.0,F3,,,I,,Held by Anest Holdings Pty Ltd,F4
0000950170-25-047739,2542830,Common Stock,,,,2113.0,,,,I,,By 401(k) plan,
0000950170-25-047734,2710778,Common Stock,,,,123754.0,,,,I,,By Trust,
0001062993-25-006573,2734728,Common Stock,,,,3406.99,,,,I,,401(K) Plan,
0001550913-25-000067,2353137,MacKenzie Realty Capital Inc. Common Stock,,,,9935.45,,,,I,,"By MPF Successors, LP",F2
0001062993-25-006562,2342689,Common Stock,,,,27649.0,,,,I,,By Trust,
0000807249-25-000056,2389236,Common Stock,,,,68321.0,,,,I,,Shares held by a Ltd. Partnership,F2
0001127602-25-010662,2580620,Common Stock,,,,20000.0,,,,I,,Trust-MPF,
0001127602-25-010662,2580619,Common Stock,,,,20000.0,,,,I,,Trust-LTF,
0001127602-25-010662,2580618,Common Stock,,,,20000.0,,,,I,,Trust-GEF,
0000807249-25-000055,2521830,Common Stock,,,,764303.0,,,,I,,Shares held by a Ltd. Partnership,F2
0001550913-25-000066,2463244,MacKenzie Realty Capital Inc. Common Stock,,,,9935.45,,,,I,,"By MPF Successors, LP",F2
0001127602-25-010654,2454081,Class M-I Common Stock,,,,16612.63,,,,I,,"Through Lynn C. Thurber Revocable Trust dated June 12, 2020",
0001437749-25-010121,2630052,Common Stock,,,,24996.0,,,,D,,,
0001437749-25-010112,2723417,Common Stock,,,,16287.0,,,,D,,,
0001437749-25-010102,2379180,Common Stock,,,,10594.0,,,,D,,,
