ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001437749-25-030143	3317269	Stock Appreciation Rights (SARs)		78.53		29-SEP-2025				4	M	0				6401.0				0.0		D		31-MAR-2023		31-MAR-2027		Common Stock		6401.0				0.0				D			
0001437749-25-030143	3317270	Stock Appreciation Rights (SARs)		69.14		29-SEP-2025				4	M	0				10000.0				0.0		D		15-JUN-2025		15-JUN-2026		Common Stock		10000.0				0.0				D			
0001437749-25-030142	3317156	Stock Appreciation Rights (SARs)		63.4		29-SEP-2025				4	M	0				45365.0				0.0		D		01-JUL-2022		01-JUL-2026		Common Stock		45365.0				0.0				D			
0001437749-25-030141	3317213	Stock Appreciation Rights (SARs)		76.87		26-SEP-2025				4	M	0				1210.0				0.0		D		07-NOV-2020		06-NOV-2025		Common Stock		1210.0				0.0				D			
0001193125-25-225637	3317145	Restricted Stock Units			F4	26-SEP-2025				4	D	false	F4			127707.0				23.0		D			F4		F4	Common Stock		127707.0				0.0				D			
0001193125-25-225637	3317146	Performance-based Restricted Stock Units			F5	26-SEP-2025				4	A	false	F5			33257.0				0.0		A			F5		F5	Common Stock		33257.0				33257.0				D			
0001193125-25-225637	3317147	Performance-based Restricted Stock Units			F5	26-SEP-2025				4	D	false	F5			33257.0				23.0		D			F5		F5	Common Stock		33257.0				0.0				D			
0001193125-25-225637	3317148	Dividend Equivalent Units			F4	26-SEP-2025				4	D	false	F4			8130.59	F6			23.0		D			F4		F4	Common Stock		8130.59				0.0				D			
0001140361-25-036835	3317184	Stock Option		1.0		08-SEP-2025				4	M	0	F1			130000.0				0.0		D			F2	27-DEC-2026		Class A Common Stock		130000.0				610002.0				D			
0001193125-25-225622	3317142	Restricted Stock Units		0.0		30-SEP-2025				4	M	false				33350.0				0.0		D		30-SEP-2025			F4	Common Stock		33350.0				33350.0				D			
