ACCESSION_NUMBER,OWNERSIGNATURENAME,OWNERSIGNATUREDATE
0001437749-25-030143,/s/ Jessica Woelfel,30-SEP-2025
0001437749-25-030142,/s/ Jessica Woelfel - as attorney-in-fact,30-SEP-2025
0001437749-25-030141,/s/ Jessica Woelfel - as attorney-in-fact,30-SEP-2025
0001213900-25-094292,/s/ Lili Zhang,30-SEP-2025
0001213900-25-094291,"/s/ Zhenjun Jiang, Director",30-SEP-2025
0001213900-25-094290,"/s/ Zhenjun Jiang, Director",30-SEP-2025
0001493152-25-016440,"/s/ George Murnane, as attorney-in-fact for Michael D. Winston",30-SEP-2025
0001213900-25-094289,/s/ Weihong Zhu,30-SEP-2025
0001213900-25-094287,/s/ Lydia Bergamasco,30-SEP-2025
0001213900-25-094285,/s/ John L. Suprock,30-SEP-2025
0001493152-25-016439,"/s/ George Murnane, as attorney-in-fact for Wrendon Timothy",30-SEP-2025
0001213900-25-094284,/s/ Pan Hu,30-SEP-2025
0001493152-25-016438,"/s/ George Murnane, as attorney-in-fact for Peter Stoneberg",30-SEP-2025
0001213900-25-094283,/s/ Donghai Li,30-SEP-2025
0001493152-25-016437,/s/ George Murnane,30-SEP-2025
0001213900-25-094280,/s/ Zhenjun Jiang,30-SEP-2025
0001213900-25-094278,/s/ Jinyu Huang,30-SEP-2025
0001493152-25-016436,"/s/ George Murnane, as attorney-in-fact for Joshua A. Adler",30-SEP-2025
0001193125-25-225637,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001737912-25-000006,/s/ Daniel Ro-Trock by Power of Attorney,30-SEP-2025
0001729635-25-000005,/s/ Daniel Ro-Trock by Power of Attorney,30-SEP-2025
0000950103-25-012608,"/s/ Paul Y. Cho, as attorney-in-fact for Jinsong Xiao",30-SEP-2025
0001729638-25-000008,/s/ Daniel Ro-Trock by Power of Attorney,30-SEP-2025
0001657025-25-000007,/s/ Christina Poler as attorney-in-fact for Margaret Tooth,30-SEP-2025
0001140361-25-036835,"/s/ Mark McKechnie, Attorney-in-Fact for David H. Wang",30-SEP-2025
0001193125-25-225622,/s/ Scott E. Garrison,30-SEP-2025
0001193125-25-225621,/s/ Taylor Monnig,30-SEP-2025
0001193125-25-225620,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225616,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225614,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225613,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001493152-25-016429,/s/ Tony Kirton,30-SEP-2025
0001193125-25-225611,"Growth VII-Centre, L.P., By: FTV Management VII, L.P., its General Partner, By: FTV VII GP, L.L.C., its General Partner, By: /s/ Andy Fleischman, Name: Andy Fleischman, Title: Managing Member",30-SEP-2025
0001193125-25-225611,"FTV Management VII, L.P., By: FTV VII GP, L.L.C., its General Partner, By: /s/ Andy Fleischman, Name: Andy Fleischman, Title: Managing Member",30-SEP-2025
0001193125-25-225611,"FTV-NE Aggregator, LLC, By: /s/ Andy Fleischman, Name: Andy Fleischman, Title: Managing Member",30-SEP-2025
0001193125-25-225611,"FTV VII, L.P., By: FTV Management VII, L.P., its General Partner, By: FTV VII GP, L.L.C., its General Partner, By: /s/ Andy Fleischman, Name: Andy Fleischman, Title: Managing Member",30-SEP-2025
0001193125-25-225608,/s/ Trevor R. Burgess,30-SEP-2025
0001193125-25-225606,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225604,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225602,"Michelle Riley, as attorney-in-fact for Gene Yoon",30-SEP-2025
0001193125-25-225602,"Bregal Sagemount IV General Partner Jersey Limited, By: /s/ Colin James Dow, Name: Colin James Dow, Title: Director, /s/ Paul Andrew Bradshaw, Name: Paul Andrew Bradshaw, Title: Director",30-SEP-2025
0001193125-25-225602,"BSIV Hold 101 GP, LLC, By: Bregal Sagemount IV General Partner Jersey Limited, its Sole Member, By: /s/ Colin James Dow, Name: Colin James Dow, Title: Director, /s/ Paul Andrew Bradshaw, Name: Paul Andrew Bradshaw, Title: Director",30-SEP-2025
0001193125-25-225602,"BSIV Hold 101, LP, By: BSIV Hold 101 GP, LLC, its GP, By: Bregal Sagemount IV General Partner Jersey Limited, its Sole Member, By: /s/ Colin James Dow, Name: Colin James Dow, Director; /s/ Paul Andrew Bradshaw, Name: Paul Andrew Bradshaw, Director",30-SEP-2025
0001193125-25-225602,"Bregal Sagemount Management LP, By: /s/ Eugene Yoon, Name: Eugene Yoon, Title: Managing Partner",30-SEP-2025
0001193125-25-225600,/s/ Jonathan Carlon,30-SEP-2025
0001341439-25-000040,"/s/ Aimee Weast by Aimee Weast, Attorney in Fact for Naomi O. Seligman (POA filed 6/4/19)",30-SEP-2025
0001193125-25-225595,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225592,/s/ James Steiner,30-SEP-2025
0001268406-25-000017,"/s/ Daniela Gutierrez, as Attorney-in-Fact",30-SEP-2025
0000929638-25-003698,/s/ R. Maxwell Smeal,30-SEP-2025
0001140361-25-036831,"By: /s/ Jo Chen, as Attorney-in-Fact for Richard Pulik",30-SEP-2025
0001193125-25-225591,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0000929638-25-003697,/s/ R. Maxwell Smeal,30-SEP-2025
0000929638-25-003696,"/s/ R. Maxwell Smeal, Attorney-in-fact",30-SEP-2025
0001193125-25-225588,/s/ Blair J. Greenberg,30-SEP-2025
0000929638-25-003695,"/s/ R. Maxwell Smeal, Attorney-in-fact",30-SEP-2025
0001193125-25-225585,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225584,/s/ Michael Warren Vostrizansky,30-SEP-2025
0000929638-25-003694,"/s/ R. Maxwell Smeal, Attorney-in-fact",30-SEP-2025
0001193125-25-225582,"/s/Gordon Paulson, Attorney-in-Fact",30-SEP-2025
0001193125-25-225580,/s/ Matthew Paul Duffy,30-SEP-2025
