ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001193125-25-338500	2004885	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001193125-25-338499	2004894	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001193125-25-338498	2004955	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001193125-25-338497	2004975	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001561550-25-000368	2004924	Class B Common Stock			F1				F1		F1	Class A Common Stock		6203835.0				6203835.0				I		By Trust	F5
0001213900-25-127175	2004919	Employee stock option (right to buy)		5.46	F2			17-NOV-2021		17-MAY-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127175	2004920	Employee stock option (right to buy)		3.07	F3			22-DEC-2021		22-JUN-2026		Subordinate Voting Shares		3333.0	F1							D			
0001213900-25-127175	2004921	Employee stock option (right to buy)		3.58	F4			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		15000.0	F1							D			
0001213900-25-127175	2004922	Restricted Stock Units		0.0					F5		F5	Subordinate Voting Shares		16667.0	F6							D			
0001213900-25-127175	2004923	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		20000.0	F6							D			
0001213900-25-127175	2004918	Employee stock option (right to buy)		5.46	F2			25-SEP-2021		25-MAR-2026		Subordinate Voting Shares		16333.0	F1							D			
0001213900-25-127174	2004960	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		316667.0	F6							D			
0001213900-25-127174	2004961	Restricted Stock Units		0.0					F8		F8	Subordinate Voting Shares		300000.0	F6							D			
0001213900-25-127174	2004959	Restricted Stock Units		0.0					F5		F5	Subordinate Voting Shares		333333.0	F6							D			
0001213900-25-127174	2004958	Employee stock option (right to buy)		3.58	F4			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		900000.0	F2							D			
0001213900-25-127174	2004957	Employee stock option (right to buy)		1.53	F3			06-JUN-2025		06-JUN-2030		Subordinate Voting Shares		515000.0	F2							D			
0001213900-25-127174	2004956	Proportionate Voting Shares			F1				F1		F1	Subordinate Voting Shares		666600.0								I		By NYAM, LLC	
0001213900-25-127173	2004935	Restricted Stock Units		0.0					F6		F6	Subordinate Voting Shares		20000.0	F5							D			
0001213900-25-127173	2004934	Restricted Stock Units		0.0					F4		F4	Subordinate Voting Shares		6667.0	F5							D			
0001213900-25-127173	2004932	Employee stock option (right to buy)		5.46	F2			17-NOV-2021		17-MAY-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127173	2004931	Employee stock option (right to buy)		5.46	F2			25-SEP-2021		25-MAR-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127173	2004933	Employee stock option (right to buy)		3.58	F3			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		15000.0	F1							D			
0001213900-25-127172	2004951	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		300000.0	F5							D			
0001213900-25-127172	2004949	Restricted Stock Units		0.0					F4		F4	Subordinate Voting Shares		266667.0	F5							D			
0001213900-25-127172	2004950	Restricted Stock Units		0.0					F6		F6	Subordinate Voting Shares		216667.0	F5							D			
