ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001104659-25-125703	2851523	Common Stock				519743904.0	F3			D			
0001193125-25-338500	2851370	Common Stock				288767.0				D			
0001193125-25-338500	2851371	Series A Preferred				500000.0				D			
0001193125-25-338499	2851388	Common Stock				60196.0				I			
0001193125-25-338499	2851387	Common Stock				41421.0				D		By Spouse	
0001193125-25-338498	2851521	Common Stock				125511.0				D			
0001193125-25-338497	2851559	Common Stock				107289.0				D			
0001561550-25-000368	2851455	Class A Common Stock				169.0				I		By Trust	F5
0001218470-25-000014	2851535	Common Stock				20750.0				I		By Goldman-Valeriote Family Trust u/a/d 11/15/95	F2
0001218470-25-000014	2851536	Common Stock				1000.0				I		By GV Partners L.P.	F3
0001707657-25-000004	2851431	Common Stock				53907.0				D			
0001213900-25-127189	2851518	Common Stock				1153625.0				I		Privet Ventures LLC	F3
0001213900-25-127175	2851439	Subordinate Voting Shares				93245.0				D			
0001213900-25-127174	2851528	Subordinate Voting Shares				626544.0				I		By Bit.Management, LLC	
0001213900-25-127174	2851530	Subordinate Voting Shares				1493162.0				I			
0001213900-25-127174	2851529	Subordinate Voting Shares				2165889.0				I		By NYAM, LLC	
0001213900-25-127174	2851527	Subordinate Voting Shares				1513219.0				D		By Bit Mining International LLC	
0001213900-25-127173	2851486	Subordinate Voting Shares				13333.0				D			
0001954770-25-000005	2851504	Class A common stock, par value $0.0001 per share				35185.0				I		By The Laisure Donor Advised Fund	
0001954770-25-000005	2851503	Class A common stock, par value $0.0001 per share				544714.0				I		By BIS HQ, GP	F2
0001213900-25-127172	2851500	Subordinate Voting Shares				1318116.0				D		By Matbrands LLC	
0001213900-25-127172	2851501	Subordinate Voting Shares				45000.0				I			
0001213900-25-127171	2851385	Subordinate Voting Shares				42000.0				D			
0001856906-25-000015	2851445	Common Stock				28999.0				I		By Family Trust 1	
0001856906-25-000015	2851443	Common Stock				35000.0				I		By Remer Family Trust	
0001856906-25-000015	2851444	Common Stock				1000000.0				I		By EMJ Remer Family Trust	
0001856906-25-000015	2851442	Common Stock				5148663.0				I		By Buckrail Partners, LLC	
0001895111-25-000011	2851438	Class A Common Stock				902213.0	F11			D			
0000058492-25-000701	2851543	Common Stock				18704.11				I		By Trent Living Trust	
0000058492-25-000701	2851542	Common Stock				5784.54				I		Held In Trust Under Issuer's Retirement Plan	
0001769628-25-000134	2851553	Class A Common Stock				1800.0				I		See Footnote	F12
0001895106-25-000011	2851456	Class A Common Stock				255989.0	F12			D			
0000058492-25-000699	2851335	Common Stock				24.89				I		Held in Trust Under Issuer's Retirement Plan	
0000058492-25-000698	2851380	Common Stock				1000.0				I		By Spouse's IRA	
0000058492-25-000698	2851381	Common Stock				866.21				I		Held in Trust Under Issuer's Retirement Plan	
0000058492-25-000696	2851541	Common Stock				28633.8				I		Held In Trust Under Issuer's Retirement Plan	
0000058492-25-000696	2851540	Common Stock				514335.0				I		By Glassman Living Trust	
0001493152-25-029866	2851448	Ordinary Shares, par value NIS 1.00 per share.				10000.0				I		By Managed Account	F2, F6
0000058492-25-000694	2851383	Common Stock				1272.94				I		By Spouse	
0000058492-25-000694	2851384	Common Stock				24.34				I		Held In Trust Under Issuer's Retirement Plan By Spouse	
0000058492-25-000694	2851382	Common Stock				31.27				I		Held In Trust Under Issuer's Retirement Plan	
0001437749-25-039101	2851351	Common Stock				544.0	F2			I		By Spouse	
0001193125-25-338435	2851376	Class C Google Stock Units	F2			1074.0				D			
0001193125-25-338435	2851377	Class C Google Stock Units	F3			1229.0				D			
0001193125-25-338435	2851375	Class C Google Stock Units	F1			403.0				D			
